"Countries" "Y1970" "Y1971" "Y1972" "Y1973" "Y1974" "Y1975" "Y1976" "Y1977" "Y1978" "Y1979" "Y1980" "Y1981" "Y1982" "Y1983" "Y1984" "Y1985" "Y1986" "Y1987" "Y1988" "Y1989" "Y1990" "Y1991" "Y1992" "Y1993" "Y1994" "Y1995" "Y1996" "Y1997" "Y1998" "Y1999" "Y2000" "Y2001" "Y2002" "Y2003"
"1" "Afghanistan" 1731.1103 1748.3821 2119.6253 2119.4362 2148.0198 2263.1123 2269.6012 2121.0975 2205.3696 2121.1022 2120.9096 2297.6856 2423.3861 2529.4749 2555.927 2548.8813 2617.0335 2326.3257 2095.917 1906.9184 1750.7216 1837.0431 1447.2505 1136.8836 1022.0531 920.74704 939.65816 1029.1133 1047.1674 880.55764 478.10435 418.2312 525.85404 588.07605
"2" "Algeria" 4280.1338 3830.3785 4621.2125 4425.8152 4043.566 3987.8969 4343.4947 4276.6604 4436.8322 5280.6525 5055.8417 4911.591 5162.5617 5277.8865 5460.9486 5457.0545 5743.4789 5934.3533 5572.779 5578.1462 5569.9025 5537.3233 5616.9971 5431.6822 5227.7289 5324.4755 5513.4534 5457.3247 5508.1995 5610.9808 5753.122 5726.0329 5723.2922 5993.0013
"3" "Antigua" 5167.9331 4978.5376 5249.2337 5021.922 5169.5753 4871.257 4414.2645 4717.3538 4737.5272 5262.949 5383.3626 5280.884 5618.2189 7076.015 7170.7684 7499.2545 7878.0829 7852.2066 9696.741 9984.8026 10793.289 10706.191 11148.938 11999.629 12623.968 12024.509 12438.551 12949.813 13666.697 14056.152 14064.74 14316.295 15270.916 15820.542
"4" "Argentina" 9739.7748 9947.7833 9945.6703 10179.488 10591.224 10363.5 10106.843 10503.817 10092.569 10715.842 10807.143 10080.209 9493.23 9722.5462 9828.6314 8974.3278 9532.7751 9623.2494 9228.4695 8464.9879 8230.9624 9099.3323 10053.66 10534.851 10967.805 10573.171 10910.546 11604.96 11932.882 11586.602 11331.958 10690.723 9561.1764 10172.063
"5" "Australia" 14672.852 15080.587 15364.975 15898.595 15617.894 15834.019 16248.44 16365.101 16878.192 17086.699 17456.145 17935.72 17502.484 17982.441 18476.025 19142.093 19294.001 19924.329 20270.633 20771.475 20424.854 20375.576 20802.631 21301.69 22007.789 22648.291 23271.226 24010.643 24950.277 25658.207 25834.54 26528.388 27119.407 27871.535
"6" "Austria" 12689.686 13290.629 14057.607 14720.44 15217.697 15183.426 15891.847 16717.672 16446.123 17736.676 17829.165 17910.476 18242.91 18713.724 18791.942 19362.814 19650.294 19932.312 20621.924 21406.837 22219.839 22763.024 23089.635 22978.429 23265.231 23590.136 24023.973 24488.424 25338.866 26112.967 26999.767 27190.532 27346.75 27566.948
"7" "Bahamas" 16856.346 16749.693 15789.881 16641.683 13588.817 11358.365 11701.449 12483.276 13965.254 17212.276 18051.367 17185.684 17659.805 18509.319 18528.25 18946.646 19018.005 19928.101 20056.007 22215.938 20641.32 19716.71 17947.604 17390.04 17737.486 17111.225 16741.521 16624.036 16705.854 18425.053 19088.042 18533.119 18377.338 18381.131
"8" "Bahrain" 11834.048 11683.356 11544.811 10784.878 17751.543 18689.86 19705.991 21461.016 19649.88 18995.624 18494.38 17413.029 17761.957 17623.77 17160.096 15659.578 15594.603 15566.236 16443.106 16659.604 17191.369 16362.655 17099.276 19595.725 15801.352 16906.196 16865.345 16889.001 17048.288 18054.555 18652.151 19093.738 18882.95 19560.6
"9" "Barbados" 11616.225 12031.881 12280.037 12120.713 12397.589 11529.345 11298.742 11769.678 12405.459 13401.298 13484.304 12886.967 12657.816 12863.717 13580.052 13446.948 14361.868 14819.694 15028.428 15170.421 14576.119 14334.805 13739.969 13273.048 13587.517 14020.479 14237.518 14539.566 15050.467 15537.087 16086 15497.756 15450.672 15707.709
"10" "Belgium" 12468.605 12881.611 13506.324 14330.341 14910.619 14648.825 15457.021 15554.457 16001.287 16373.706 17062.174 16927.472 17017.11 17038.043 17490.826 17755.812 18072.44 18479.076 19379.829 20036.538 20644.907 20926.877 21179.352 20887.794 21493.399 21936.724 22093.781 22786.21 23163.219 23793.334 24661.914 24821.924 25105.985 25262.252
