"NUTS_ID" "X1" "X2" "X3" "X4" "X5" "X6" "X7" "X8" "X9" "X10" "X11" "X12" "X13" "X14" "X15"
"1" "UKI3" 101844.553115307 105710.430731319 109937.17984888 114852.003052533 120456.154150995 126166.566464581 131199.188649444 135095.318727407 137508.384536379 138972.562917886 140308.689187632 141829.988594461 143400.296117192 144862.648559535 146556.035346447
"2" "LU00" 47593.4902878742 49099.1586660543 50845.8685981745 52930.7962516063 55427.7788180132 58149.7260888018 60841.1032444965 62918.4192914134 64127.6067167491 64883.6509210742 65949.1202302794 67369.1988228836 68941.2116405607 70659.4118133236 72463.4586086952
"3" "BE10" 49787.3061248951 50841.8762447466 51844.237384615 52683.8003653574 53437.458026293 54072.6951482833 54503.0032279833 54726.2425383226 54787.7928357533 54920.8350705961 55328.503339451 55858.5981276228 56354.3593861039 56761.6513654673 57145.6408145093
"4" "DE60" 41513.9649535939 43007.7555620874 44467.3117780059 45921.1583188403 47387.0500176008 48767.3563762829 49902.518894066 50734.2020499245 51251.667299782 51646.7037715741 52326.8338252715 53212.107217393 54154.2802924139 55131.1722400266 56175.9174031373
"5" "UKI4" 38597.2104019288 40218.5295708218 41936.2950754062 43827.988520042 45805.284297024 47519.3786354404 48572.6222768556 48820.2653811634 48329.9385439611 47630.0298998593 47420.1374164351 48107.0542772883 49646.3516793888 51880.4721353404 54388.4418890449
"6" "SK01" 20623.7110594259 22783.2786540906 25003.0524792472 27393.914180733 30114.2570077059 33147.4479404063 36218.5728378419 39125.1258885551 41565.6296270339 43554.5864455973 45319.9979962389 46921.1320996567 48414.0568971506 49883.4593940752 51331.7774922412
"7" "DE21" 34642.7525171308 35600.1843858722 36566.7758518727 37599.6570106518 38761.2738214294 39954.127121721 41022.9139376136 41835.6709557187 42368.7686326297 42928.8700720249 43859.6353963618 45068.1055165742 46355.7796801777 47657.2602520362 48978.2248481851
"8" "FR10" 35410.6145992109 36135.469359578 36826.6257840713 37508.7104392846 38378.0897663603 39501.7365361553 40806.1291569088 42169.468191075 43372.9735360029 44362.7501784695 45361.2273394911 46308.7942115292 47232.0436127266 48156.1612873813 49069.2060017552
"9" "CZ01" 27850.1956795572 30300.4482352794 32742.6694822724 35232.7563941624 37739.778827412 40163.5656154175 42317.5809791898 43941.1186412726 44786.6593675395 45096.1049412601 45289.4916468981 45547.4789783153 45908.40776587 46403.0222033899 46980.7212421637
"10" "SE11" 34968.2097974534 35783.4570762961 36747.7907875462 37932.9442314039 39323.0041820617 40736.7863366878 42101.4257233202 43258.1715561273 44016.0449335458 44526.7595050323 45083.461730676 45719.0165497609 46308.935024663 46805.6855697964 47288.3069956291
"11" "UKM5" 28281.6064503949 29426.0778509098 30525.4922193616 31690.6200675414 33124.1531521426 34822.2840190521 36633.3407098136 38242.085822923 39359.9474433055 39979.6199242189 40500.2060279921 41228.069329079 42213.5404374546 43342.4588704415 44530.4976753692
