"ID" "Y1970" "Y1971" "Y1972" "Y1973" "Y1974" "Y1975" "Y1976" "Y1977" "Y1978" "Y1979" "Y1980" "Y1981" "Y1982" "Y1983" "Y1984" "Y1985" "Y1986" "Y1987" "Y1988" "Y1989" "Y1990" "Y1991" "Y1992" "Y1993" "Y1994" "Y1995" "Y1996" "Y1997" "Y1998" "Y1999" "Y2000" "Y2001" "Y2002" "Y2003"
"1" "Afghanistan" 1938.52177383582 1989.04146661981 2039.04263071922 2087.4050890329 2133.21012113291 2175.61908436873 2213.83036028702 2247.2610634735 2275.46773561317 2297.69150948238 2312.9982725184 2320.01243888482 2316.87820106393 2301.68393444082 2272.7842841479 2229.10337273147 2170.27317952751 2096.72512869011 2010.00754517458 1912.2427553645 1805.76785928051 1692.90664605482 1575.84528917146 1457.13030324933 1338.98671593438 1222.83893811444 1109.31904663752 998.303888606334 889.246158906995 781.675575954111 675.51666126502 570.941141517172 467.627212609856 364.87129558857
"2" "Algeria" 4016.03379719254 4100.32158911955 4185.26963105357 4270.86331527883 4358.17789125192 4448.67598814122 4543.033705387 4640.77519470915 4740.92576031412 4841.60041942156 4940.15395535037 5035.03878162087 5124.99653111501 5208.46021726068 5283.956766408 5350.18667061393 5406.2929015194 5451.68560033883 5486.61787328281 5512.5494958111 5531.15564620026 5544.27549448731 5553.84507784378 5561.78305295496 5570.16595656155 5580.74507327187 5594.41559505281 5611.43203993809 5631.84652047383 5655.32588085625 5681.22784773042 5708.79928503926 5737.46679210638 5766.70005229277
"3" "Antigua" 4459.63535985537 4538.27361622626 4618.68261694752 4703.73376632894 4797.87484638795 4906.34910972615 5035.32906007918 5190.89947090835 5377.59245427477 5598.75625806231 5856.13896701913 6150.64914774824 6482.01342593509 6847.78401439578 7243.35363963157 7664.6856056077 8107.56175319037 8567.35034548174 9038.845948451 9515.05526870363 9990.62975047398 10461.3952063247 10925.1840969421 11380.4408724968 11826.1693679172 12262.9213884501 12693.2432359228 13119.0851811915 13541.7607645222 13962.1603457285 14381.4866252122 14801.177282511 15221.8781305996 15643.0227767463
"4" "Argentina" 10165.3636971081 10166.3482894165 10166.2689094822 10163.5151725888 10155.9251974963 10141.3770350332 10118.8369830343 10087.8266467468 10047.8376464602 9999.40157834737 9943.1618669648 9881.55303792324 9819.16956966599 9761.10258054154 9711.62833997421 9674.926726437 9655.47012605294 9655.97942762898 9678.86878240692 9726.47051655952 9799.99095805349 9897.48272831417 10013.0758773718 10138.9050791856 10267.2064680218 10391.2060429483 10505.8812993631 10606.6646450567 10690.0001495713 10754.8276208366 10803.194071408 10839.2259497891 10868.3716143049 10895.708165906
"5" "Australia" 14721.3606045332 14975.3305821544 15229.1792882643 15483.0485923962 15737.4198533626 15993.8132959953 16253.4503304923 16517.152881312 16785.7303470864 17059.6119967442 17339.4582533463 17625.997257462 17920.248866527 18224.0072448335 18538.0221445072 18862.4394020619 19197.2498611501 19543.143499419 19901.052172363 20272.8606992281 20661.3778513292 21070.6589357333 21504.1679498788 21963.6311838651 22449.0210854167 22958.6552492985 23489.7481900618 24038.7385116347 24601.5185124702 25173.9102522421 25752.6076868431 26335.5155140353 26920.7432623637 27506.8826415881
"6" "Austria" 13099.6669528943 13559.4594547726 14018.2270042687 14474.2725728635 14925.9975820269 15372.4188717972 15813.2825307571 16247.8621653102 16675.6277930329 17097.2239560886 17512.721434658 17923.7896390315 18332.8890884129 18742.4470179085 19154.6657149036 19571.6756592385 19994.7005214664 20424.4418179924 20860.740048918 21302.2053897996 21746.8509760713 22192.9515221928 22639.9642126835 23088.7714132575 23541.3796665969 23999.5196593511 24464.2317065025 24935.5326638854 25412.3387405679 25892.4483739583 26373.4763196134 26853.5886296551 27332.5170829066 27810.8358166165
"7" "Bahamas" 14793.4714464463 14835.114370694 14881.9144813255 14943.8154112981 15033.0307098655 15166.0185952534 15355.6267514127 15605.1837283062 15908.8826315181 16253.1117973119 16619.4004903724 16991.6758858909 17357.445075333 17704.7001704494 18022.1891828025 18300.6716710286 18532.1723458072 18710.3308536397 18830.0014226636 18889.0827063818 18888.5383722409 18837.6492259214 18750.0780271731 18641.6851876811 18526.3249340627 18414.7223799656 18315.6305417028 18234.5436921372 18173.0208302773 18128.5946859014 18095.1300717122 18067.2329461975 18041.9915476657 18017.6588295601
"8" "Bahrain" 13152.8644087276 13793.0006718908 14429.8398940322 15054.8109224502 15652.1300322083 16195.3386660636 16663.2267991929 17040.8207101077 17320.7535878216 17506.7091095731 17608.1937686308 17638.4363454895 17612.8810862225 17546.4087185394 17454.2726599341 17351.9197311042 17254.0613110975 17171.1779246341 17109.6014506562 17071.6514132945 17057.9810980532 17068.2136719029 17102.3057715695 17158.4501370988 17234.8319341078 17335.7295153709 17461.837533827 17612.7768086266 17786.6769275858 17979.858038999 18186.7943188417 18402.1466854918 18621.7394490302 18843.1258978241
"9" "Barbados" 11620.0947337956 11731.7346833931 11843.3649586561 11955.7262510417 12070.6509321101 12190.3838402943 12317.9871591967 12454.8704753191 12599.8952622653 12750.2100124508 12902.4771276353 13054.9867295475 13207.4835070972 13359.29209987 13508.3629786838 13651.4076766071 13785.3169492614 13906.4704030769 14012.6890221103 14104.0768494111 14183.2772754732 14255.599551167 14327.3350316742 14404.9730857988 14493.5346672653 14595.2109170839 14709.9279320967 14836.1749793529 14971.2603010715 15111.7506170232 15254.410663726 15397.0685186553 15539.6312326273 15682.2575751613
"10" "Belgium" 12864.9004074845 13248.2016950578 13630.5122441124 14009.924839392 14384.2217950298 14751.9864655609 15113.1181985324 15467.2584378278 15814.9083843342 16156.787235344 16494.080134689 16828.5145231125 17163.238076021 17501.6458625134 17846.7676314983 18200.4741247284 18563.7462298772 18936.4531793068 19317.2359398042 19703.5920352085 20093.1754720091 20484.4726216074 20877.3491842248 21272.7768710287 21672.4824002258 22077.2300328455 22487.3363214163 22902.7665533848 23322.5021278941 23745.2330527037 24169.2511277535 24592.9684053514 25016.0285949862 25438.6477951332
