"Countries" "Y1970" "Y1971" "Y1972" "Y1973" "Y1974" "Y1975" "Y1976" "Y1977" "Y1978" "Y1979" "Y1980" "Y1981" "Y1982" "Y1983" "Y1984" "Y1985" "Y1986" "Y1987" "Y1988" "Y1989" "Y1990" "Y1991" "Y1992" "Y1993" "Y1994" "Y1995" "Y1996" "Y1997" "Y1998" "Y1999" "Y2000" "Y2001" "Y2002" "Y2003"
"1" "Afghanistan" 7.56447577290344 7.59110192888099 7.61745819111014 7.64296302633277 7.66713874232991 7.68954750278902 7.70976437872537 7.72745181306927 7.74231623633473 7.75389467180911 7.76161497817112 7.76466950526549 7.76199556632217 7.75246794489401 7.73503873825814 7.7088682913564 7.67339477792207 7.62839272555007 7.57412766664893 7.511174265186 7.44029123207552 7.3623424521062 7.27826054029852 7.18936203691045 7.09696138292033 7.00198972949883 6.90495974617519 6.8059420915063 6.7048588150575 6.601958243257 6.49811116570412 6.39463486486147 6.29202591781272 6.18988440045351
"2" "Algeria" 8.3033709043864 8.32134909931567 8.3394732158584 8.35771260013565 8.37628394621765 8.39549769109048 8.41548576751188 8.43611891220736 8.45717023381735 8.47822486296084 8.49871924450305 8.51832377352334 8.53678279605481 8.55379323169898 8.56908301353915 8.58242379411055 8.59367796288937 8.60276351100228 8.60975378563338 8.61493650853259 8.61863913981401 8.62121832776528 8.62304695489523 8.62449302415361 8.62595080229352 8.62775333391363 8.63007311715188 8.63296344053161 8.63643977592625 8.64044697152531 8.6448737587766 8.64958895373382 8.65449293291118 8.65949404601694
"3" "Antigua" 8.43904760408973 8.45221090528663 8.46565215772414 8.47980101406033 8.49533759001655 8.5130464187988 8.53385005418091 8.5586162021238 8.58785943472295 8.62184529178294 8.66052784099857 8.70372765382269 8.75109165329692 8.80193706529565 8.85528781148739 8.91032413631522 8.96628248493501 9.02242988939833 9.0780472752105 9.13228086782043 9.18453063731062 9.23438790028402 9.28169934632802 9.32642213890743 9.36860694193553 9.4084699415074 9.44641418763385 9.48280831112828 9.517976297036 9.55220720119171 9.58580193187881 9.61905791798697 9.65218664916405 9.68527485445789
"4" "Argentina" 9.22711403600062 9.22705220201817 9.22688251613377 9.22644225849395 9.22551373442922 9.22388346860919 9.22144365389906 9.21814188773397 9.21392457840976 9.20884151448766 9.20295655980651 9.1965101706346 9.18995531829911 9.1837995218895 9.1784712476794 9.17439497018241 9.17203162323442 9.17166146152991 9.17354088858147 9.17792699740308 9.18496815002672 9.19447712565369 9.20584342867243 9.21826026144768 9.23094544783826 9.24322727150637 9.25461345109984 9.26466882467243 9.27306540945866 9.27971152031115 9.28480044121329 9.28872018912165 9.2919852352763 9.29508107953211
"5" "Australia" 9.60188478532795 9.61766018287758 9.63341525412039 9.64913843120872 9.66483422277832 9.68056925643572 9.69638850569842 9.712310310957 9.72835142179571 9.74450507791793 9.7607780846061 9.77718112345675 9.7937415483915 9.81053013435865 9.82755854766725 9.84480500694239 9.86223940750163 9.87986874467308 9.89771328901002 9.91584288127106 9.9343754001607 9.95349245700587 9.97335099406211 9.99402945296154 10.0155299847213 10.0377860209544 10.0606900475998 10.0841096847328 10.1078982596619 10.1319144566569 10.1560588148469 10.1802836341204 10.204549736417 10.2288321613006
"6" "Austria" 9.49124373392578 9.52105038367845 9.55075028613757 9.58017110424893 9.6091409226223 9.63752987881466 9.66526079384123 9.69223256331312 9.71836483458038 9.74365722769098 9.76808306321779 9.79171499332727 9.81467693972428 9.83709638931045 9.85909296611406 9.88078608428361 9.90225038415211 9.92353631509564 9.94465331947744 9.96555224240425 9.98615757083584 10.0064085752159 10.0263009841046 10.0458967364843 10.0653098666135 10.0846454448724 10.1039820552083 10.1233581277998 10.1427691564022 10.1621671289389 10.1814973471961 10.2007251633622 10.2198711450459 10.2389806072062
"7" "Bahamas" 9.59742605994315 9.59851241070949 9.5999364025312 9.60235473345868 9.60659207196302 9.6137663643094 9.62477158271821 9.63981155788872 9.65844686146159 9.67971889895146 9.70238377788564 9.72538175386697 9.74789956479099 9.76919007414518 9.78858401258551 9.80555420961753 9.81966966439876 9.83060894606955 9.83813430321181 9.84218117735519 9.84285538424347 9.84067869977255 9.8364033868053 9.83090306590152 9.82494837891178 9.81914184229069 9.81398219037603 9.80978902779954 9.80666112171737 9.80446927891337 9.80287643955683 9.80158803710375 9.80044435727286 9.79935000225707
"8" "Bahrain" 9.45620525552978 9.49962950041358 9.54286007235691 9.58536902602793 9.62615624429128 9.66347293806337 9.69596549695167 9.72271096924294 9.74326818443197 9.75782417798788 9.76692238119468 9.77134157468103 9.77200628857542 9.76982513406489 9.76573874211982 9.76070569047047 9.75564606491038 9.75122528206076 9.74785634381017 9.74570633756364 9.74484186381717 9.74526711258771 9.74700457606898 9.74997047088085 9.75408048070907 9.75958302983515 9.76651096830123 9.77483677722726 9.78444920082203 9.79513593600284 9.80658306935274 9.81849173083098 9.8306308846073 9.84286605479156
"9" "Barbados" 9.36266888954152 9.37142788008155 9.3801805936645 9.38898047152272 9.39796982894121 9.40732520774183 9.41729136841714 9.42797638544861 9.43927622157436 9.45095010317438 9.46272379581633 9.47445345692724 9.48611163849794 9.49764468830087 9.50889875043462 9.51963127225656 9.52961834732361 9.538603259624 9.54643607707194 9.55312964005974 9.55887494600316 9.56404792527808 9.56909517035428 9.57447926832624 9.58056022913654 9.58749559153689 9.5952837606626 9.60382508848386 9.61294080724923 9.62240415874097 9.63200394347218 9.64160041444565 9.65118807632414 9.6607785590299
"10" "Belgium" 9.46978025791275 9.4958363308879 9.52179537612811 9.54747966524489 9.57268426465739 9.5972608774136 9.6211540682065 9.64429553805165 9.66667864932602 9.68831628181225 9.7092556797584 9.72958187679421 9.7494683154638 9.76910621647742 9.78866806622535 9.80826159542261 9.82794644410336 9.84772276875802 9.86752621827902 9.88723412049676 9.90673495785065 9.9259624094433 9.94492137681666 9.9636738294707 9.98232138852281 10.0009237911372 10.0195237238662 10.0381513573 10.0567956813323 10.0754350844819 10.0940317683434 10.1125522486414 10.1310105001527 10.1494378234671
"11" "Belize" 8.18936909650491 8.21781433087124 8.24614465257422 8.27419089651733 8.3017326115009 8.32850803501791 8.35421566114297 8.37848635378913 8.40075668998627 8.42029426169824 8.43659699131248 8.44947520298913 8.45935323564093 8.46693884796295 8.47330682732632 8.47973359415198 8.48743187200849 8.49710425429003 8.50908394445987 8.52340184652836 8.53982034415036 8.55796241926212 8.57747768085464 8.59792818680937 8.61892526908885 8.64018792263001 8.66160516333143 8.68322945485886 8.70518001414339 8.72756988296477 8.75046831181432 8.77385362166852 8.79758276177646 8.82144424886914
"12" "Benin" 7.05975790182024 7.05561755386807 7.05134066101615 7.04667797162228 7.04156035252897 7.03608788992052 7.03058772122883 7.02543609738568 7.02112165894722 7.01789430541479 7.01569075206105 7.01434231752367 7.01370216046953 7.01357267537066 7.01388148252907 7.01448217870553 7.01528994949107 7.01639220668734 7.01801511698338 7.02040654406519 7.02382799940212 7.02844581343614 7.03434141713942 7.04156203838722 7.05013304596075 7.06004222455057 7.07121359787379 7.08349535787161 7.09671543464954 7.11069389243551 7.1252522256862 7.14020593663341 7.1553875892849 7.17065376409076
"13" "Bermuda" 9.98651225435932 10.0136799855335 10.0408346024371 10.0679482706747 10.094944471583 10.1216532473524 10.1477577495728 10.1729224178324 10.1968800906854 10.2193914862346 10.2402403927618 10.2593452423417 10.2767933939238 10.2926697475545 10.3070695405986 10.320072849579 10.3317003117597 10.3419772343182 10.3509664655742 10.3588396901071 10.365891668326 10.372506221538 10.3790563320913 10.3858474323027 10.3930237081314 10.4006163459411 10.4085497663746 10.4166927295335 10.4249039775008 10.4330613328137 10.4410801586142 10.4490549801963 10.4570652319929 10.4651234514785
"14" "Bhutan" 5.37669148532557 5.42624292479807 5.47594491538764 5.526037132388 5.5767473696028 5.62832060717239 5.68092239578354 5.7346115644088 5.78928305112699 5.84465430491846 5.90003359544979 5.95464760582199 6.00797582473371 6.05965561487987 6.10938907005868 6.15699636520104 6.20244509866877 6.24562536864157 6.28644807541943 6.32515447665639 6.36208092378091 6.39769846744276 6.43250712168835 6.46699647768033 6.50153603016175 6.53631365993084 6.57132325110609 6.60644681729659 6.64146730102266 6.67632345230417 6.71102837223756 6.74565809100298 6.7803090932297 6.81501979203444
"15" "Bolivia" 7.9156425240914 7.92597517288599 7.93611732628368 7.94570277919304 7.95423455893422 7.96118051441345 7.96600874533252 7.96826038764782 7.96766539845646 7.96420516561343 7.95806430116439 7.94964523291253 7.93953561304134 7.92850650830154 7.91742410658322 7.90706728095802 7.89811376463098 7.89109541130905 7.88630310294169 7.88386358264755 7.88377252127697 7.88593218058339 7.89017639191256 7.89629944210647 7.9040306803413 7.91306515439831 7.9231032239652 7.93387348289433 7.94513877840159 7.95671105698506 7.96845236130035 7.98027728838981 7.99213550426787 8.00400455813795
"16" "Botswana" 7.19292493238056 7.27324903047696 7.35328268092245 7.43258745562154 7.51071147743267 7.58719344078552 7.66163758046496 7.7338837766359 7.80389799636986 7.87182217665263 7.93792093557201 8.00255592180353 8.06605535846401 8.12841870865961 8.18955722427554 8.24937830422271 8.30763264415954 8.36407109355841 8.41835907397097 8.47016463773582 8.51911550678162 8.56506561145523 8.60805394606123 8.64833345203389 8.68637185797875 8.72269262702194 8.75781148559345 8.79215610127994 8.82605226342774 8.85979929593451 8.89362146845082 8.92747190468262 8.96129378844324 8.99511255787576
"17" "Brazil" 8.39220321379445 8.43164566651927 8.47082753349687 8.50929584540931 8.54650720048781 8.5819721314525 8.61526262027424 8.6460187368217 8.67405047369503 8.69929145975814 8.72175492786519 8.74158682797908 8.75914194127788 8.77478918031129 8.78885850502472 8.80147687736624 8.81257103150512 8.82201866828882 8.82977117139094 8.83593465326637 8.84070297367181 8.8444317385894 8.84744896966003 8.85002871182352 8.85233811162462 8.85447126848141 8.85651722362128 8.85852525945963 8.86052103157423 8.86252873685834 8.8645426507165 8.86654120205681 8.86854382980901 8.8705761338082
